  No    Ref    V       B-V     U-B

 0001   558  13.370   0.608  -0.006
 0002   558  14.664   0.572  -0.015
 0003   558  15.068   0.762   0.240
 0004   558  12.672   0.297   0.073
 0006   558  14.496   1.158   0.950
 0007   558  14.158   0.505  -0.028
 0008   558  14.161   0.410   0.042
 0009   558  11.992   0.257   0.160
 0010   558  14.175   0.589   0.104
 0011   558  15.216   0.662   0.089
 0012   558  15.135   0.637  -0.030
 0013   558  15.031   0.585   0.032
 0014   558  13.576   1.202   1.066
 0015   558  14.940   0.602  -0.094
 0016   558  12.158   0.275   0.117
 0017   558  13.860   0.774   0.290
 0018   558  12.101   0.299   0.015
 0019   558  15.323   0.650   0.044
 0020   558  14.108   0.618   0.005
 0021   558  15.281   0.801   0.288
 0022   558  13.082   0.822   0.299
 0023   558  14.054   0.810   0.309
 0024   558  11.235   1.020   0.451
 0025   558  14.821   1.277   1.259
 0026   558  11.400   0.291   0.113
 0027   558  15.007   0.634  -0.001
 0028   558  14.990   0.644  -0.125
 0029   558  13.521   0.614   0.038
 0030   558  14.030   0.480  -0.068
 0031   558  13.290   0.404  -0.031
 0032   558  11.306   0.958   0.665
 0035   558  13.818   0.534   0.019
 0036   558  13.189   0.442   0.014
 0038   558  13.204   1.114   0.995
 0039   558  11.512   0.304   0.148
 0040   558  13.924   0.459   0.006
 0042   558  12.486   0.324   0.103
 0043   558  12.742   0.366   0.098
 0044   558  12.003   0.265   0.135
 0045   558  12.720   0.320   0.136
 0046   558  12.925   0.420   0.047
 0047   558  13.600   0.505   0.022
 0048   558  14.996   0.758   0.267
 0049   558  12.411   0.273   0.103
 0050   558  15.175   0.817   0.448
 0051   558  13.297   0.381   0.079
 0052   558  15.275   0.781   0.448
 0053   558  12.571   0.299   0.104
 0054   558  12.255   0.365   0.061
 0055   558  15.069   0.643   0.128
 0056   558  12.286   0.356   0.070
 0057   558  13.831   0.465  -0.007
 0058   558  13.863   1.053   0.776
 0059   558  14.455   0.633   0.138
 0060   558  13.721   0.508   0.030
 0061   558  14.504   0.536   0.009
 0062   558  12.741   0.328   0.127
 0063   558  15.259   1.108   1.105
 0064   558  14.785   1.100   0.905
 0065   558  13.536   0.415  -0.019
 0066   558  15.207   0.750   0.247
 0067   558  15.202   0.613   0.024
 0068   558  11.499   0.260   0.159
 0069   558  13.513   0.733   0.233
 0070   558  10.869   0.350   0.151
 0072   558  13.794   0.452         
 0074   558  12.423   0.582  -0.007
 0075   558  14.915   1.074   0.714
 0076   558  14.587   1.098   0.849
 0077   558  13.738   0.443  -0.058
 0078   558  13.513   0.433  -0.037
 0080   558  14.582   0.798   0.358
 0081   558  13.446   0.403  -0.034
 0082   558  13.091   1.153   0.985
 0084   558  14.304   0.560  -0.050
 0085   558  13.073   0.398  -0.112
 0087   558  12.600   0.605   0.101
 0088   558  14.008   0.589   0.001
 0089   558  14.762   0.772   0.223
 0090   558  14.473   0.886   0.390
 0091   558  13.566   1.247   1.202
 0092   558  12.273   0.319   0.033
 0093   558  14.878   0.631   0.083
 0094   558  14.776   1.176   1.004
 0095   558  14.480   1.067   0.932
 0096   558  14.351   0.538  -0.065
 0097   558  15.450   0.975   0.633
 0098   558  14.685   0.583   0.010
 0100   558  13.833   1.057   0.692
 0101   558  10.703   1.032   0.830
 0102   558  12.898   0.876   0.435
 0103   558  14.134   1.280   1.333
