 No    Ref    V       B-V     U-B

 0001   158   8.880   0.880  -0.110
 0002   158   8.910   0.750  -0.240
 0003   158   8.990   0.820  -0.180
 0004   158  10.220   0.740  -0.200
 0005   158   9.360   0.770  -0.220
 0006   158   9.250   0.900  -0.280
 0007   158  12.150   0.880   0.030
 0008   158  12.240   0.700  -0.070
 0009   158  11.810   0.770  -0.080
 0010   158   8.580   0.410   0.060
 0011   158  13.200   0.900   0.160
 0012   158  12.910   0.830   0.090
 0013   158  13.480   0.930   0.380
 0014   158  11.880   0.440  -0.020
 0015   158  14.260   0.910   0.420
 0016   158  14.530   1.000   0.560
 0017   158  14.780   1.200   0.680
 0018   158  14.690   1.010   0.250
 0019   158  14.790   1.000   0.220
 0020   158  14.590   0.760   0.760
 0021   158  14.600   1.140   0.380
 0022   158  12.210   0.770   0.040
 0023   158  13.870   1.020   0.600
 0024   158  13.550   0.950   0.750
 0025   158  10.570   0.310   0.010
 0026   158  13.280   0.900   0.300
 0027   158  11.400   0.850         
 0028   158  12.590   0.810  -0.010
 0030   158  12.910   0.820   0.090
 0033   158  12.690   0.700   0.120
 0034   158  13.010   1.390   0.220
 0037   158  12.020   0.670   0.040
 0038   158  13.780   0.770   0.240
 0039   158  13.700   0.880   0.180
 0040   158  12.700   0.410   0.190
 0041   158  14.540   1.120   0.490
 0042   158  14.220   0.940   0.330
 0043   158  14.490   0.660   0.230
 0044   158  12.930   1.670   1.460
 0045   158  13.810   0.890   0.580
 0046   158  11.500   0.550   0.080
 0047   158  12.990   0.700   0.510
 0048   158  11.320   0.640  -0.300
 0049   158  12.830   1.030   0.560
 0050   158  13.630   1.120   0.600
 0051   158  13.230   0.940   0.370
 0052   158  12.510   1.070   0.770
 0053   158  13.340   0.660   0.140
 0054   158  14.120   1.180   0.700
 0055   158  12.430   0.490   0.040
 0056   158  14.100   0.820   0.280
 0057   158  11.860   1.050   0.790
 0058   158  13.660   1.100   0.330
 0059   158  13.960   0.920   0.480
 0060   158  13.230   1.740   1.640
 0061   158  13.760   0.880   0.430
 0062   158  14.570   0.950   0.500
 0063   158  10.570   0.180  -0.310
 0064   158  10.130   0.140  -0.340
 0065   158  12.910   0.470   0.070
 0066   158  11.950   0.380   0.110
 0069   158  13.090   0.610   0.140
 0070   158  12.150   0.410   0.090
 0072   158  12.830   0.670   0.120
 0073   158  12.770   0.720   0.140
 0074   158  11.020   0.360   0.020
 0076   158  12.750   0.590   0.070
 0077   158  12.840   1.140   0.930
 0078   158  12.870   0.650   0.140
 0080   158  12.650   1.100   0.230
 0101   158  11.690   0.280   0.210
 0103   158  13.550   1.320   0.370
 0105   158  13.030   0.660   0.090
 0106   158  13.160   0.600   0.050
 0107   158  13.170   1.750   1.540
 0110   158  12.040   1.190   0.880
 0111   158   9.400   0.500  -0.370
 0112   158  12.130   0.570  -0.130
 0113   158  12.780   0.840   0.670
 0119   158  11.800   0.500  -0.070
 0126   158  11.140   0.260  -0.030
 0170   158  11.770   0.320   0.260
 0172   158  12.570   1.190   0.410
 0176   158  14.220   0.920   0.560
 0177   158  14.390   1.000   0.730
 0178   158  14.250   0.800   0.320
 0179   158  14.480   0.840   0.130
